0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1.7560000000000002
1 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 0 2.3419999999999845
0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 3.1119999999999948
0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 9.677999999999997
0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 10.007999999999981
0 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0 10.570000000000022
0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 13.74799999999999
1 0 1 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 28.47199999999995
0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0 0 32.140000000000015
1 1 0 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 1 33.93599999999999
0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 61.52799999999999
1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 1 66.694
0 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 1 1 1 70.77
0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 73.65399999999997
0 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 77.51199999999999
0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0 0 125.28199999999997
0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0 0 138.76
0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 145.62399999999997
0 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 0 173.088
